DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:10:09.560000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:10:09.560000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.001) QUERY = u'BEGIN' - PARAMS = (); args=None
DEBUG:django.db.backends:(0.001) QUERY = u'INSERT INTO "dhl_brokeruser" ("name", "email") VALUES (%s, %s)' - PARAMS = (u'userAdmins', u'x@x.com'); args=[u'userAdmins', u'x@x.com']
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:12:41.209000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:12:41.209000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
DEBUG:django.db.backends:(0.003) QUERY = u'INSERT INTO "dhl_brokeruser" ("name", "email") VALUES (%s, %s)' - PARAMS = (u'userAdmins', u'x@x.com'); args=[u'userAdmins', u'x@x.com']
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:13:11.245000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:13:11.245000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
DEBUG:django.db.backends:(0.001) QUERY = u'INSERT INTO "dhl_brokeruser" ("name", "email") VALUES (%s, %s)' - PARAMS = (u'userAdmins', u'x@x.com'); args=[u'userAdmins', u'x@x.com']
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:13:14.259000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:13:14.259000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
DEBUG:django.db.backends:(0.000) QUERY = u'INSERT INTO "dhl_brokeruser" ("name", "email") VALUES (%s, %s)' - PARAMS = (u'userAdmins', u'x@x.com'); args=[u'userAdmins', u'x@x.com']
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:14:29.668000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:14:29.668000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
DEBUG:django.db.backends:(0.002) QUERY = u'INSERT INTO "dhl_brokeruser" ("name", "email") VALUES (%s, %s)' - PARAMS = (u'userAdmins', u'x@x.com'); args=[u'userAdmins', u'x@x.com']
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:16:16.742000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:16:16.742000')
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:16:31.528000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:16:31.528000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
DEBUG:django.db.backends:(0.001) QUERY = u'INSERT INTO "dhl_brokeruser" ("name", "email") VALUES (%s, %s)' - PARAMS = (u'userAdmins', u't.stanislawek@gmail.com'); args=[u'userAdmins', u't.stanislawek@gmail.com']
DEBUG:django.db.backends:(0.001) QUERY = u'SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s AND "django_session"."expire_date" > %s)' - PARAMS = (u'fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:24:36.499000'); args=('fany0renxchcx59qofjt4ea37gohwuv8', u'2016-10-31 08:24:36.499000')
DEBUG:django.db.backends:(0.000) QUERY = u'SELECT "auth_user"."id", "auth_user"."password", "auth_user"."last_login", "auth_user"."is_superuser", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s' - PARAMS = (1,); args=(1,)
DEBUG:django.db.backends:(0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
DEBUG:django.db.backends:(0.001) QUERY = u'INSERT INTO "dhl_brokeruser" ("name", "email") VALUES (%s, %s)' - PARAMS = (u'userAdmins', u't.stanislawek@gmail.com'); args=[u'userAdmins', u't.stanislawek@gmail.com']
